1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,9,8,8,7,2,5,9,8,1,7,6,2,5,9,4,3,8,1
1,0,9,8,8,7,2,5,9,8,1,7,6,2,5,9,4,3,8,1
1,0,9,8,1,7,2,5,9,8,1,7,6,2,5,9,4,3,8,1
1,0,9,8,1,7,2,5,9,8,1,7,6,6,5,9,4,3,8,1
1,0,9,8,1,7,2,5,9,8,1,7,6,6,5,9,4,3,8,1
1,0,9,8,1,7,2,5,9,8,1,7,6,6,5,9,4,3,8,1
1,0,9,8,1,7,2,5,9,8,1,7,6,6,5,9,4,3,8,1
1,0,9,8,1,7,2,5,9,8,1,7,6,2,5,9,4,3,8,1
1,0,9,8,1,7,2,5,9,8,1,7,6,2,5,9,4,3,8,1
1,0,9,8,1,7,6,5,9,8,1,7,6,2,5,9,4,3,8,1
1,0,9,8,1,7,6,5,9,8,7,7,6,2,5,9,4,3,8,1
1,0,9,8,1,7,6,5,9,8,7,7,6,2,5,9,4,3,8,1
1,0,9,8,1,7,6,5,9,8,7,7,6,2,5,9,4,3,8,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
